"Id";"Name";"CategoryName";"Value"
148701;"Bertrams smoothie 10-gyümölcsös 330ml";"Gyümölcslevek";499
149301;"Ocean Spray áfonya és málna juice 1L M";"Gyümölcslevek";599
149801;"Rubicon Gránátalma juice 1l";"Gyümölcslevek";699
150401;"Belvoir Cordial Apple-PlumCinnamon 500ml";"Szörpök";1690
160501;"Szállítás";"Culinaris válogatás";550
160701;"Ma Ling vizigesztenye 540g";"Zöldség, Gyümölcs";990
287901;"Andrássy Tokaji Aszú 5 Puttonyos 2006 (0,5 l)";"Fehér borok";6160
288501;"Bárdos Mátrai Irsai Olivér 2014 (0,75 l)";"Fehér borok";1400
288901;"Kajmád Szekszárdi Cabernet Franc 2011 (0,75 l)";"Vörösborok";2580
289201;"Baron V. T. Szekszárdi Ch. K. Rosé 2014 (0,75 l)";"Rosé borok";1215
289301;"Baron V. T. Szekszárdi Ch. K. Sauvignon Blanc 2014 (0,75 l)";"Fehér borok";1215
289401;"Bock Villányi Rosé Cuvée 2014 (0,75 l)";"Rosé borok";1900
290101;"Bodri Szekszárdi Cuvée Bodrikutya III. 2013 (0,75 l)";"Vörösborok";1375
290201;"Bodri Szekszárdi Faluhely QV 2011 (0,75 l)";"Vörösborok";3290
290301;"Bollinger Champagne Special Cuvee Brut (0,75 l)";"Pezsgõk";15085
290401;"Gatao Rosé (0,75 l)";"Rosé borok";1385
290501;"Gatao Vinho Verde 2009 (0,75 l)";"Fehér borok";1385
290601;"Bottega Il Vino Dei Poeti Gold Spumante (0,75 l)";"Pezsgõk";6110
290701;"Bottega Fragolino Rosso (0,75 l)";"Pezsgõk";2000
290801;"Bujdosó Balatonboglári Kapitány (Irsai Olivér) 2014 (0,75 l)";"Fehér borok";1235
290901;"Bujdosó Balatonboglári Nemere fehér cuvée 2012 (0,75 l)";"Fehér borok";2620
291001;"Bujdosó Balatonboglári Sirocco vörös cuvée 2009 (0,75 l)";"Vörösborok";3230
291101;"Csányi Villányi Kõvilla Cabernet Franc 2009 (0,75 l)";"Vörösborok";2975
291201;"Csányi Villányi Kõvilla Cuvée 2009 (0,75 l)";"Vörösborok";2848
291301;"Csordás-Fodor Somlói Juhfark 2013 (0,75 l)";"Fehér borok";1790
291401;"Duval-Leroy Brut (0,75 l)";"Pezsgõk";11435
291501;"Duval-Leroy DL Rosé Prestige Brut (0,75 l)";"Pezsgõk";17790
291601;"Euroborok Bátaapáti ""Tûzkõ Birtok"" Chardonnay bq. 2012 (0,75 l)";"Fehér borok";1630
291701;"Tûzkõ Birtok Bátaapáti Domb Cuvée 2007 (0,75 l)";"Vörösborok";5220
